marca,km,provincia,precio_usd,carroceria,antiguedad
Chevrolet,66000,Entre Ríos,10000.0,Sedán,6
Toyota,137000,Buenos Aires (A.M.B.A.),25096.77,Pickup,7
Chevrolet,91000,Buenos Aires,19677.42,Pickup,5
Toyota,137294,Córdoba,12258.06,Sedán,12
FIAT,54000,Ciudad Autónoma Buenos Aires,12838.71,Sedán,4
Ford,130000,Córdoba,4451.61,Hatchback,15
Volvo,171000,Ciudad Autónoma Buenos Aires,2580.65,Wagon,29
Mercedes,57108,Salta,21290.32,Cabriolet,13
Nissan,114000,Río Negro,20000.0,Pickup,10
Chevrolet,130000,Buenos Aires,6258.06,Sedán,14
Citroën,105000,Santa Fe,13548.39,SUV,5
Renault,120000,Santa Fe,6774.19,Hatchback,13
Peugeot,155000,Santa Fe,8387.1,Sedán,7
Peugeot,95000,Ciudad Autónoma Buenos Aires,11612.9,Hatchback,8
Renault,102000,Córdoba,10322.58,Sedán,7
Chevrolet,118000,Buenos Aires,27032.26,Pickup,7
Honda,180000,Ciudad Autónoma Buenos Aires,6800.0,Hatchback,18
Peugeot,28900,Buenos Aires (A.M.B.A.),19500.0,Hatchback,1
Volkswagen,93000,Ciudad Autónoma Buenos Aires,11290.32,Hatchback,10
FIAT,122000,Buenos Aires (A.M.B.A.),17900.0,Pickup,8
Peugeot,150000,Córdoba,11548.39,Hatchback,8
Volkswagen,115000,Buenos Aires (A.M.B.A.),7548.39,Hatchback,14
Foton,108000,Buenos Aires (A.M.B.A.),16000.0,Camión,5
Chevrolet,31000,Ciudad Autónoma Buenos Aires,20645.16,SUV,2
Renault,48500,Santa Fe,13548.39,SUV,9
Toyota,29400,Ciudad Autónoma Buenos Aires,23870.97,SUV,5
Chevrolet,72000,Ciudad Autónoma Buenos Aires,7806.45,Hatchback,15
Nissan,150000,Buenos Aires (A.M.B.A.),15161.29,SUV,7
Renault,146000,Santa Fe,11935.48,SUV,6
Volkswagen,61000,Formosa,20322.58,Pickup,4
Renault,133000,Mendoza,10322.58,Furgón,10
Citroën,86000,Córdoba,8064.52,SUV,7
Nissan,152500,Córdoba,19677.42,Pickup,6
Volkswagen,150000,Ciudad Autónoma Buenos Aires,7500.0,Hatchback,15
Ford,85000,Buenos Aires,23000.0,SUV,4
Volkswagen,15000,Ciudad Autónoma Buenos Aires,5161.29,SUV,2
Volkswagen,93000,Buenos Aires (A.M.B.A.),13800.0,Hatchback,7
Peugeot,37000,Ciudad Autónoma Buenos Aires,14838.71,Hatchback,5
Toyota,59000,Córdoba,30967.74,SUV,2
Chevrolet,124000,Ciudad Autónoma Buenos Aires,8064.52,Hatchback,10
Peugeot,294000,Buenos Aires (A.M.B.A.),3612.9,Furgón,23
Ford,170000,Buenos Aires (A.M.B.A.),10580.65,SUV,8
Ford,137600,Buenos Aires (A.M.B.A.),9900.0,Hatchback,12
Ford,75000,Córdoba,10500.0,Hatchback,8
Mercedes,254000,Buenos Aires (A.M.B.A.),20000.0,Furgón,11
Peugeot,143000,Córdoba,6774.19,Hatchback,13
Citroën,168450,Buenos Aires (A.M.B.A.),8000.0,SUV,15
Toyota,1000,Ciudad Autónoma Buenos Aires,32251.61,Sedán,0
FIAT,103000,Córdoba,7677.42,Hatchback,14
Volkswagen,17000,Ciudad Autónoma Buenos Aires,4516.13,SUV,2
Toyota,66200,Ciudad Autónoma Buenos Aires,16000.0,Sedán,9
Ford,164000,Córdoba,8064.52,SUV,14
Ford,86000,Buenos Aires (A.M.B.A.),10000.0,Hatchback,9
Volkswagen,45000,Entre Ríos,31290.32,Pickup,2
FIAT,373382,Córdoba,5677.42,Sedán,13
BAIC,1,Ciudad Autónoma Buenos Aires,34000.0,SUV,0
Volkswagen,67700,Entre Ríos,8709.68,Hatchback,12
Chery,1,Ciudad Autónoma Buenos Aires,29500.0,SUV,0
Renault,121300,Córdoba,14193.55,SUV,3
Chevrolet,74952,Córdoba,17419.35,SUV,3
Volkswagen,139000,Entre Ríos,9354.84,Hatchback,11
Volkswagen,25000,Ciudad Autónoma Buenos Aires,2258.06,SUV,2
Volkswagen,138000,Ciudad Autónoma Buenos Aires,6387.1,Minivan,14
Volkswagen,144200,Entre Ríos,14193.55,Hatchback,11
Peugeot,93000,Mendoza,7419.35,Hatchback,12
Peugeot,67000,Ciudad Autónoma Buenos Aires,10064.52,Sedán,8
Honda,120000,Entre Ríos,16129.03,SUV,9
Citroën,63303,Córdoba,12193.55,Hatchback,7
Ford,50000,Córdoba,11548.39,Hatchback,7
Toyota,106000,Buenos Aires,15500.0,Sedán,11
Toyota,157000,Córdoba,10000.0,Hatchback,10
Renault,116000,Ciudad Autónoma Buenos Aires,8064.52,Sedán,10
Volkswagen,177000,Buenos Aires (A.M.B.A.),4838.71,Hatchback,17
Volkswagen,7500,Buenos Aires,21935.48,Hatchback,2
Audi,131000,Misiones,16129.03,Sedán,13
Peugeot,29300,Buenos Aires (A.M.B.A.),14500.0,Hatchback,6
Volkswagen,21500,Ciudad Autónoma Buenos Aires,3225.81,SUV,2
Chevrolet,54000,Mendoza,18709.68,Sedán,4
Foton,40000,Buenos Aires (A.M.B.A.),17000.0,Camión,4
Volkswagen,87000,Ciudad Autónoma Buenos Aires,10300.0,Hatchback,8
